Time;Channel A
(us);(mV)

-4,84149987;-26,88853073
-4,84049987;-25,76894569
-4,83949987;-25,76894569
-4,83849987;-25,76894569
-4,83749987;-24,64935684
-4,83649987;-24,64935684
-4,83549987;-24,64935684
-4,83449987;-24,64935684
-4,83349987;-24,64935684
-4,83249987;-24,64935684
-4,83149987;-23,52669716
-4,83049987;-23,52669716
-4,82949987;-22,40711021
-4,82849987;-22,40711021
-4,82749987;-22,40711021
-4,82649987;-21,28752327
-4,82549987;-20,16793633
-4,82449987;-20,16793633
-4,82349987;-19,04527283
-4,82249987;-17,92568779
-4,82149987;-17,92568779
-4,82049987;-16,80610085
-4,81949987;-15,68343925
-4,81849987;-15,68343925
-4,81749987;-14,56385231
-4,81649987;-13,44426537
-4,81549987;-13,44426537
-4,81449987;-12,32467842
-4,81349987;-11,20201683
-4,81249987;-10,08243084
-4,81149987;-8,96284389
-4,81049987;-8,96284389
-4,80949987;-6,72059488
-4,80849987;-6,72059488
-4,80749987;-5,60100842
-4,80649987;-4,48142195
-4,80549987;-3,35875964
-4,80449987;-2,23917317
-4,80349987;-1,11958659
-4,80249987;0,00000000
-4,80149987;1,11958659
-4,80049987;2,23917317
-4,79949987;3,35875964
-4,79849987;4,48142195
-4,79749987;5,60100842
-4,79649987;7,84018135
-4,79549987;7,84018135
-4,79449987;8,96284389
-4,79349987;10,08243084
-4,79249987;12,32467842
-4,79149987;12,32467842
-4,79049987;13,44426537
-4,78949987;14,56385231
-4,78849987;15,68343925
-4,78749987;16,80610085
-4,78649987;17,92568779
-4,78549987;19,04527283
-4,78449987;20,16793633
-4,78349987;21,28752327
-4,78249987;21,28752327
-4,78149987;22,40711021
-4,78049987;23,52669716
-4,77949987;24,64935684
-4,77849987;24,64935684
-4,77749987;25,76894569
-4,77649987;26,88853073
-4,77549987;26,88853073
-4,77449987;28,01119423
-4,77349987;28,01119423
-4,77249987;29,13078117
-4,77149987;29,13078117
-4,77049987;30,25036621
-4,76949987;30,25036621
-4,76849987;30,25036621
-4,76749987;30,25036621
-4,76649987;30,25036621
-4,76549987;30,25036621
-4,76449987;31,36995316
-4,76349987;31,36995316
-4,76249987;31,36995316
-4,76149987;31,36995316
-4,76049987;31,36995316
-4,75949987;31,36995316
-4,75849987;31,36995316
-4,75749987;31,36995316
-4,75649987;31,36995316
-4,75549987;30,25036621
-4,75449987;30,25036621
-4,75349987;30,25036621
-4,75249987;30,25036621
-4,75149987;30,25036621
-4,75049987;29,13078117
-4,74949987;29,13078117
-4,74849987;29,13078117
-4,74749987;28,01119423
-4,74649987;28,01119423
-4,74549987;26,88853073
-4,74449987;26,88853073
-4,74349987;25,76894569
-4,74249987;25,76894569
-4,74149987;24,64935684
-4,74049988;23,52669716
-4,73949988;23,52669716
-4,73849988;22,40711021
-4,73749988;21,28752327
-4,73649988;21,28752327
-4,73549988;20,16793633
-4,73449988;20,16793633
-4,73349988;19,04527283
-4,73249988;17,92568779
-4,73149988;16,80610085
-4,73049988;15,68343925
-4,72949988;14,56385231
-4,72849988;13,44426537
-4,72749988;12,32467842
-4,72649988;12,32467842
-4,72549988;11,20201683
-4,72449988;10,08243084
-4,72349988;8,96284389
-4,72249988;7,84018135
-4,72149988;6,72059488
-4,72049988;5,60100842
-4,71949988;4,48142195
-4,71849988;3,35875964
-4,71749988;2,23917317
-4,71649988;1,11958659
-4,71549988;0,00000000
-4,71449988;-1,11958659
-4,71349988;-2,23917317
-4,71249988;-3,35875964
-4,71149988;-4,48142195
-4,71049988;-5,60100842
-4,70949988;-7,84018135
-4,70849988;-7,84018135
-4,70749988;-8,96284389
-4,70649988;-11,20201683
-4,70549988;-11,20201683
-4,70449988;-12,32467842
-4,70349988;-14,56385231
-4,70249988;-15,68343925
-4,70149988;-15,68343925
-4,70049988;-16,80610085
-4,69949988;-19,04527283
-4,69849988;-20,16793633
-4,69749988;-20,16793633
-4,69649988;-21,28752327
-4,69549988;-22,40711021
-4,69449988;-23,52669716
-4,69349988;-24,64935684
-4,69249988;-24,64935684
-4,69149988;-25,76894569
-4,69049988;-26,88853073
-4,68949988;-26,88853073
-4,68849988;-26,88853073
-4,68749988;-28,01119423
-4,68649988;-28,01119423
-4,68549988;-28,01119423
-4,68449988;-29,13078117
-4,68349988;-29,13078117
-4,68249988;-29,13078117
-4,68149988;-29,13078117
-4,68049988;-29,13078117
-4,67949988;-29,13078117
-4,67849988;-29,13078117
-4,67749988;-30,25036621
-4,67649988;-29,13078117
-4,67549988;-29,13078117
-4,67449988;-29,13078117
-4,67349988;-29,13078117
-4,67249988;-29,13078117
-4,67149988;-29,13078117
-4,67049988;-28,01119423
-4,66949988;-28,01119423
-4,66849988;-28,01119423
-4,66749988;-28,01119423
-4,66649988;-28,01119423
-4,66549988;-26,88853073
-4,66449988;-26,88853073
-4,66349988;-26,88853073
-4,66249988;-25,76894569
-4,66149988;-25,76894569
-4,66049988;-25,76894569
-4,65949988;-25,76894569
-4,65849988;-24,64935684
-4,65749988;-24,64935684
-4,65649988;-24,64935684
-4,65549988;-24,64935684
-4,65449988;-24,64935684
-4,65349988;-23,52669716
-4,65249988;-23,52669716
-4,65149988;-22,40711021
-4,65049988;-22,40711021
-4,64949988;-22,40711021
-4,64849988;-21,28752327
-4,64749988;-20,16793633
-4,64649988;-19,04527283
-4,64549988;-19,04527283
-4,64449988;-17,92568779
-4,64349988;-17,92568779
-4,64249988;-16,80610085
-4,64149988;-15,68343925
-4,64049988;-15,68343925
-4,63949988;-14,56385231
-4,63849988;-13,44426537
-4,63749988;-13,44426537
-4,63649988;-12,32467842
-4,63549988;-11,20201683
-4,63449988;-10,08243084
-4,63349988;-8,96284389
-4,63249988;-7,84018135
-4,63149988;-6,72059488
-4,63049988;-6,72059488
-4,62949988;-5,60100842
-4,62849988;-4,48142195
-4,62749988;-3,35875964
-4,62649988;-2,23917317
