Time;Channel A
(us);(V)

-4,47849987;-2,58735228
-4,47749987;-2,81219244
-4,47649987;-2,92476630
-4,47549987;-3,14991379
-4,47449987;-3,26218009
-4,47349987;-3,37475395
-4,47249987;-3,59990168
-4,47149987;-3,71247530
-4,47049987;-3,82474160
-4,46949987;-3,93731546
-4,46849987;-4,04988909
-4,46749987;-4,04988909
-4,46649987;-4,16246319
-4,46549987;-4,27472925
-4,46449987;-4,38730335
-4,46349987;-4,49987698
-4,46249987;-4,49987698
-4,46149987;-4,61245060
-4,46049987;-4,61245060
-4,45949987;-4,72471714
-4,45849987;-4,72471714
-4,45749987;-4,72471714
-4,45649987;-4,72471714
-4,45549987;-4,72471714
-4,45449987;-4,83729076
-4,45349987;-4,83729076
-4,45249987;-4,83729076
-4,45149987;-4,83729076
-4,45049987;-4,72471714
-4,44949987;-4,72471714
-4,44849987;-4,83729076
-4,44749987;-4,72471714
-4,44649987;-4,72471714
-4,44549987;-4,61245060
-4,44449987;-4,61245060
-4,44349987;-4,61245060
-4,44249987;-4,61245060
-4,44149987;-4,49987698
-4,44049987;-4,49987698
-4,43949987;-4,38730335
-4,43849987;-4,38730335
-4,43749987;-4,27472925
-4,43649987;-4,27472925
-4,43549987;-4,27472925
-4,43449987;-4,16246319
-4,43349987;-4,04988909
-4,43249987;-4,04988909
-4,43149987;-3,93731546
-4,43049987;-3,93731546
-4,42949987;-3,93731546
-4,42849987;-3,82474160
-4,42749987;-3,82474160
-4,42649987;-3,82474160
-4,42549987;-3,71247530
-4,42449987;-3,59990168
-4,42349987;-3,59990168
-4,42249987;-3,48732781
-4,42149987;-3,48732781
-4,42049987;-3,37475395
-4,41949987;-3,37475395
-4,41849987;-3,26218009
-4,41749987;-3,14991379
-4,41649987;-3,14991379
-4,41549987;-3,03734016
-4,41449987;-2,92476630
-4,41349987;-2,81219244
-4,41249987;-2,81219244
-4,41149987;-2,69992614
-4,41049987;-2,58735228
-4,40949987;-2,47477865
-4,40849987;-2,36220479
-4,40749987;-2,24993849
-4,40649987;-2,13736463
-4,40549987;-2,02479076
-4,40449987;-1,91221702
-4,40349987;-1,79995084
-4,40249987;-1,68737698
-4,40149987;-1,57480311
-4,40049987;-1,34996307
-4,39949987;-1,23738933
-4,39849987;-1,12481546
-4,39749987;-1,01224160
-4,39649987;-0,78740156
-4,39549987;-0,67482775
-4,39449987;-0,56225395
-4,39349987;-0,33741388
-4,39249987;-0,22484006
-4,39149987;0,00000000
-4,39049987;0,11226624
-4,38949987;0,22484006
-4,38849987;0,44998771
-4,38749987;0,56225395
-4,38649987;0,78740156
-4,38549987;0,89997542
-4,38449987;1,12481546
-4,38349987;1,23738933
-4,38249987;1,46222937
-4,38149987;1,57480311
-4,38049987;1,79995084
-4,37949987;1,91221702
-4,37849987;2,02479076
-4,37749987;2,24993849
